orig,pert
The fine print is here .,The fine print is here.
The fine print is here .,The fine print is here .
"At first , Solteq 's services to companies operating in the St. Petersburg area will include maintenance and material management systems and data collection solutions .","Initially, Solteq&#39;s services for companies operating in the St. Petersburg area will include maintenance and materials management systems and data collection solutions."
"At first , Solteq 's services to companies operating in the St. Petersburg area will include maintenance and material management systems and data collection solutions .","At first , Solteq 's services to companies operating in the St. Petersburg area will include maintenance and material management systems and data collection solutions ."
"Fiskars , the World 's  1 Scissors Brand TM , recently won Learning -� Magazine 's 2011 Teachers ' Choice Award for the Classroom .","Fiskars , the World 's  1 Scissors Brand TM , recently won Learning -� Magazine 's 2011 Teachers ' Choice Award for the Classroom ."
Swedbank 's shares have been hardest hit of the Swedish banks by the ongoing international financial crisis .,Swedbank 's share have been difficult hit of the Swedish Sir Joseph Banks by the on-going international financial crisis .
Swedbank 's shares have been hardest hit of the Swedish banks by the ongoing international financial crisis .,Swedbank 's shares have been hardest hit of the Swedish banks by the ongoing international financial crisis .
As a result of these negotiations the company has decided to make 45 people redundant on financial and production grounds .,As a result of these negotiations the company has decided to make 45 people redundant on financial and production grounds .
FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is sharply pursuing its maturation scheme by increasingly focussing on technologically more demand HDI printed electric circuit boards PCBs .
FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,ASPOCOMP Growth Financing Aspocomp is actively pursuing its growth strategy and is increasingly focusing on HDI printed circuit boards (PCBs) with higher technical requirements.
FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .
"After Chuck Smith was laid off on May 30 from his $ 90,000 housing consultant job , he and his wife had to cut spending in half for their family of six , having to rely on his wife 's income -- about the same as his -- alone .","After Chuck Smith was laid off from his $90,000-a-year job as a housing consultant on May 30, he and his wife had to cut their family of six expenses in half and rely on his wife&#39;s income, which was about the same as his."
"After Chuck Smith was laid off on May 30 from his $ 90,000 housing consultant job , he and his wife had to cut spending in half for their family of six , having to rely on his wife 's income -- about the same as his -- alone .","After Chuck Smith was laid off on May 30 from his $ 90,000 housing consultant job , he and his wife had to cut spending in half for their family of six , having to rely on his wife 's income -- about the same as his -- alone ."
"The service is intended to allow the people of thirteen Mediterranean countries to reach the Baltic more rapidly , with a single carrier .","The service is mean to permit the people of thirteen Mediterranean Sea countries to range the Baltic Sea more quickly , with a single carrier ."
"The service is intended to allow the people of thirteen Mediterranean countries to reach the Baltic more rapidly , with a single carrier .",The service aims to allow people from 13 Mediterranean countries to reach the Baltic Sea more quickly with a single airline.
"The service is intended to allow the people of thirteen Mediterranean countries to reach the Baltic more rapidly , with a single carrier .","The service is intended to allow the people of thirteen Mediterranean countries to reach the Baltic more rapidly , with a single carrier ."
Operating profit increased to EUR 14.0 mn from EUR 4.9 mn in the corresponding period in 2005 .,Operating profit increased to EUR 14.0 mn from EUR 4.9 mn in the corresponding period in 2005 .
Kone shares dropped 4.1 percent to  x20ac 43 US$ 55.77 in Helsinki .,Kone shares dropped 4.1 percent to  x20ac 43 US$ 55.77 in Helsinki .
Return on investment ROI was 4.1 % compared to 43.8 % in the first half of 2008 .,tax return on investing ROI was 4.1 % compare to 43.8 % in the first one-half of 2008 .
Return on investment ROI was 4.1 % compared to 43.8 % in the first half of 2008 .,"Return on investment ROI was 4.1%, compared with 43.8% in the first half of 2008."
Return on investment ROI was 4.1 % compared to 43.8 % in the first half of 2008 .,Return on investment ROI was 4.0% compared to 43.6% in the first half of 2008 .
Operating loss amounted to EUR 0.9 mn in the first half of 2006 compared to a profit of EUR 0.5 mn in the first half of 2005 .,Operating loss amounted to EUR 0.9 mn in the first half of 2006 compared to a profit of EUR 0.5 mn in the first half of 2005 .
"The brokerage said 2006 has seen a ` true turning point ' in European steel base prices , with better pricing seen carrying through the second quarter of 2006 .","The brokerage tell 2006 has see a ` true turn point ' in European steel base of operations price , with better pricing see carry through the s quarter of 2006 ."
"The brokerage said 2006 has seen a ` true turning point ' in European steel base prices , with better pricing seen carrying through the second quarter of 2006 .",The brokerage said there was a &quot;real turning point&quot; in basic European steel prices in 2006 and pricing will continue to improve in the second quarter of 2006.
"The brokerage said 2006 has seen a ` true turning point ' in European steel base prices , with better pricing seen carrying through the second quarter of 2006 .","The brokerage said 2006 has seen a ` true turning point ' in European steel base prices , with better pricing seen carrying through the second quarter of 2006 ."
"`` We have significant experience in smartphone functionality , in the development of mobile Internet services , and in uniting the two into a smooth user experience .","`` We have significant experience in smartphone functionality , in the development of mobile Internet services , and in uniting the two into a smooth user experience ."
The production is to be liquidated before June 2009 and 325 employees loose their jobs .,The production is to be liquidate before June 2009 and 325 employee unloose their business .
The production is to be liquidated before June 2009 and 325 employees loose their jobs .,The production is to be liquidated before June 2009 and 325 employees loose their jobs .
"Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/2009","Applicant Name: Jot Automation OY Inventor Name: Mammila Tuomo, Piirainen Mika and Kellokoski Mika Application Number: 2424-KOLNP-2008 AD Application Filing Date: 16-06-2008 Publication Date: 30/01/2009"
"Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/2009","Name of Applicant : Jot Automation OYName of Inventor : Mammila Tuomo , Piirainen Mika and Kellokoski MikaApplication No. : 2424-KOLNP-2008 ADate of filing of Application : 16-06-2008Publication Date : 30/01/2009"
The measures result from decreased demand in technical design and product information .,The step result from decreased demand in technical designing and merchandise information .
The measures result from decreased demand in technical design and product information .,These measures were taken due to reduced demand for technical design and product information.
The measures result from decreased demand in technical design and product information .,The measures result from decreased demand in technical design and product information .
"Scanfil , a systems supplier and contract manufacturer to the communications sector , will start personnel negotiations in Oulu , in Finland , to lay off staff temporarily .","Scanfil , a system provider and contract manufacturing business to the communication theory sector , will start force talks in Oulu , in Republic of Finland , to lay off staff temporarily ."
"Scanfil , a systems supplier and contract manufacturer to the communications sector , will start personnel negotiations in Oulu , in Finland , to lay off staff temporarily .","Scanfil , a systems supplier and contract manufacturer to the communications sector , will start personnel negotiations in Oulu , in Finland , to lay off staff temporarily ."
"The report also said Nokia 's operations comprising the sites at Bochum , Ulm , Dusseldorf , Munich and Frankfurt posted operating profit after interest of 246 mln eur .","The report also said that Nokia&#39;s operations at its Bochum, Ulm, Dusseldorf, Munich and Frankfurt bases posted an operating profit after interest of 246 million euros."
"The report also said Nokia 's operations comprising the sites at Bochum , Ulm , Dusseldorf , Munich and Frankfurt posted operating profit after interest of 246 mln eur .","The report also said Nokia 's operations comprising the sites at Bochum , Ulm , Dusseldorf , Munich and Frankfurt posted operating profit after interest of 246 mln eur ."
"As a result of these transactions , the aggregate holdings of Burrill Life Sciences Capital Fund , L.P. has decreased below 5 per cent of the total number of shares and votes of the Company .","As a result of these transactions , the aggregate holdings of Burrill Life Sciences Capital Fund , L.P. has decreased below 5 per cent of the total number of shares and votes of the Company ."
"Finnish consulting and engineering group Poyry Plc ( OMX Helsinki : POY ) said on Wednesday ( 1 October ) that it has been awarded a contract by Tanqia Dibba FZC as owner-engineer for the wastewater system of Dibba , Emirate of Fujairah , UAE .",Finnish consulting and engineering group Poyry Plc (OMX Helsinki: POY) said on Wednesday (October 1) that it has been awarded a contract by Tanqia Dibba FZC as owner engineer for the Dibba wastewater system in the UAE emirate of Fujairah.
"Finnish consulting and engineering group Poyry Plc ( OMX Helsinki : POY ) said on Wednesday ( 1 October ) that it has been awarded a contract by Tanqia Dibba FZC as owner-engineer for the wastewater system of Dibba , Emirate of Fujairah , UAE .","Finnish consulting and engineering group Poyry Plc ( OMSnap Helsinki : POY ) said on Wednesday ( 1 October ) that it has been awarded a contract by Tanqia Dibba FZC as owner-engineer for the wastewater system of Dibba , Emirate of Fujairah , UAE ."
"In this case , the effect would be negative in Finland .","In this case, the impact on Finland will be negative."
"In this case , the effect would be negative in Finland .","In this case , the effect would be negative in Finland ."
The company then said it will focus its resources on clinical research .,The company then state it will direction its resource on clinical research .
The company then said it will focus its resources on clinical research .,The company subsequently said it would focus its resources on clinical research.
The company then said it will focus its resources on clinical research .,The company then said it will focus its resources on clinical research .
"The cost of the deal could range from 70 million to 90 million euros depending on the financial results of the two companies in 2008 , the statement says .","The cost of the deal could range from 70 million to 90 million euros depending on the financial results of the two companies in 2008 , the statement says ."
"For the first nine months of 2010 , Talvivaara 's net loss narrowed to EUR 8.3 million from EUR 21.9 million for the same period of 2009 .","For the first nine months of 2010 , Talvivaara 's net loss narrowed to EUR 8.3 million from EUR 21.9 million for the same period of 2009 ."
"VDW combined with LXE devices enhances productivity , enabling workers to use a single device to perform voice , scanning and keyboard functions .","VDW unite with LXE devices enhances productiveness , enable workers to utilization a bingle device to perform voice , scanning and keyboard map ."
The extracted filtrates are very high in clarity while the dried filter cakes meet required transport moisture limits (TMLs)for their ore grades .,The extracted filtrate are very high in clarity while the dried filter cakes meet required conveyance wet limit (TMLs)for their ore form .
The extracted filtrates are very high in clarity while the dried filter cakes meet required transport moisture limits (TMLs)for their ore grades .,The extracted filtrates are very high in clarity while the dried filter cakes meet required transport moisture limits (TMLs)for their ore grades .
"SysOpen Digia Plc , Press release , 7 February 2006 IBM Finland has rewarded its most distinguished partner companies for 2005 .","SysOpen Digia Plc, press release, February 7, 2006 IBM Finland rewards the most outstanding partner companies of 2005."
"3 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal .","3 February 2011 - Finnish broadband data communication systems provider Teleste Oyj HEL : TLT1V said yesterday its net profit rocketed to EUR4 .8 m in 2010 from EUR416 ,000 in 2009 and it lifted its dividend proposal ."
The Department Store Division reported an increase in sales of 4 per cent .,The Department Store Division reported an increase in sales of 4 per cent .
The firm builds components for mobile phones and other communications products .,The company manufactures components for mobile phones and other communications products.
The firm builds components for mobile phones and other communications products .,The firm builds components for mobile phones and other communications products .
"In addition , Cramo and Peab have signed exclusive five-year rental agreements in Finland and have extended their existing rental agreements in the Swedish market for another five years .","In addition, Cramo and Peab have signed an exclusive five-year lease agreement in Finland and extended their existing lease agreement in the Swedish market for a further five years."
"In addition , Cramo and Peab have signed exclusive five-year rental agreements in Finland and have extended their existing rental agreements in the Swedish market for another five years .","In addition , Cramo and Peab have signed exclusive five-year rental agreements in Finland and have extended their existing rental agreements in the Swedish market for another five years ."
"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .","gm technology will install the valve at a liquefy natural gaseous state LNG plant it has build for UAE LNG extraction and gaseous state plant operator GASCO in Ruwais , UAE ."
"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .","GS Engineering will install the valves at the LNG plant it is building for UAE LNG extraction and gas plant operator GASCO in Ruwais, UAE."
"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .","GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE ."
Storengy is the GDF SUEZ company that is dedicated to the underground storage of natural gas .,Storengy is the GDF SUEZ company that is give to the resistance storage of natural gaseous state .
Storengy is the GDF SUEZ company that is dedicated to the underground storage of natural gas .,Storengy is the GDF SUEZ company that is dedicated to the underground storage of natural gas .
"The company , which celebrates its fiftieth anniversary next year , has been exporting distinctive detached homes to Central Europe for several decades .","The company, which will celebrate its 50th anniversary next year, has been exporting unique detached homes to central Europe for decades."
"The company , which celebrates its fiftieth anniversary next year , has been exporting distinctive detached homes to Central Europe for several decades .","The company , which celebrates its fiftieth anniversary next year , has been exporting distinctive detached homes to Central Europe for several decades ."
"Raw materials prices have surged in the past year , fueled in part because of the rapid industrialization of China , India and other developing nations .","Raw materials prices have surged in the past year , fueled in part because of the rapid industrialization of China , India and other developing nations ."
"The antibody , administered at repeated doses of up to 8 mg-kg , was generally well tolerated , and the pharmacokinetic characteristics of BTT-1023 in psoriasis patients were consistent with those observed in a previously completed study in rheumatoid arthritis RA patients .","The antibody was generally well tolerated at repeated doses up to 8 mg-kg, and the pharmacokinetic profile of BTT-1023 in psoriasis patients was consistent with that observed in previously completed studies in patients with rheumatoid arthritis, RA."
"The antibody , administered at repeated doses of up to 8 mg-kg , was generally well tolerated , and the pharmacokinetic characteristics of BTT-1023 in psoriasis patients were consistent with those observed in a previously completed study in rheumatoid arthritis RA patients .","The antibody , administered at repeated doses of up to 8 mg-kg , was generally well tolerated , and the pharmacokinetic characteristics of BTT-1023 in psoriasis patients were consistent with those observed in a previously completed study in rheumatoid arthritis RA patients ."
Under the terms of this agreement Lextel Group has committed to an opening order of EUR3 .75 m for Benefon mobile units to be co-branded with Capitel for the China market .,Under the terms of this agreement Lextel Group has committed to an opening order of EUR3 .75 m for Benefon mobile units to be co-branded with Capitel for the China market .
"Finnish GeoSentric , a developer and provider of solutions , products , and technologies for location based services , has preliminary agreed on a EUR 6mn short-term funding with its leading investor .","Finnish GeoSentric , a developer and supplier of solution , products , and engineering for location found services , has prelim agree on a EUR 6mn short-run funding with its lead investor ."
"Finnish GeoSentric , a developer and provider of solutions , products , and technologies for location based services , has preliminary agreed on a EUR 6mn short-term funding with its leading investor .","Finnish GeoSentric , a developer and provider of solutions , products , and technologies for location based services , has preliminary agreed on a EUR 6mn short-term funding with its leading investor ."
Consolidated pretax profit decreased by 69.2 % to EUR 41.0 mn from EUR 133.1 mn in 2007 .,consolidate pretax profits decrease by 69.2 % to EUR 41.0 manganese from EUR 133.1 manganese in 2007 .
Consolidated pretax profit decreased by 69.2 % to EUR 41.0 mn from EUR 133.1 mn in 2007 .,Consolidated pretax profit decreased by 69.1% to EUR 41.0 mn from EUR 133.1 mn in 2007 .
The through service of FESCO is a telling example of strengthening the relationship between logistics companies and operators at the international level .,The through service of FESCO is a recounting illustration of strengthening the relationship between logistics company and operator at the international degree .
The through service of FESCO is a telling example of strengthening the relationship between logistics companies and operators at the international level .,FESCO’s direct service is a vivid example of strengthening relations between logistics companies and operators on an international level.
The through service of FESCO is a telling example of strengthening the relationship between logistics companies and operators at the international level .,The through service of FESCO is a telling example of strengthening the relationship between logistics companies and operators at the international level .
Operating profit rose to EUR 103.4 mn from EUR 23.2 in the corresponding period in 2006 .,Operating profit rose to EUR 103.4 mn from EUR 23.2 in the corresponding period in 2006 .
"Operating profit was EUR 11.4 mn , up from EUR 7.5 mn .","Operating profit was EUR 11.4 mn , up from EUR 7.5 mn ."
"As a result , the number of personnel in Finland will be reduced by 158 .","As a result, the number of personnel in Finland will be reduced by 158 people."
"As a result , the number of personnel in Finland will be reduced by 158 .","As a result , the number of personnel in Finland will be reduced by 158 ."
Asian traffic declined by 3.4 per cent .,Asian traffic declined by 3.4 per cent .
The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 .,The company account today an operate loss of EUR0 .1 m on internet gross sales of EUR4 .5 m for the number one one-fourth 2008 .
The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 .,The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 .
"Kemira , headquartered in Helsinki , Finland , is an international chemicals group comprising the business areas Kemira Pulp & Paper , Kemira Water , Kemira Specialty and Kemira Coatings .","Kemira , headquartered in capital of Finland , Finland , is an international chemicals group consist the business area Kemira mush & Paper , Kemira H2O , Kemira strength and Kemira coat ."
"Kemira , headquartered in Helsinki , Finland , is an international chemicals group comprising the business areas Kemira Pulp & Paper , Kemira Water , Kemira Specialty and Kemira Coatings .","Headquartered in Helsinki, Finland, Kemira is an international chemicals group whose business areas include Kemira Pulp and Paper, Kemira Water, Kemira Specialty Products and Kemira Coatings."
"Kemira , headquartered in Helsinki , Finland , is an international chemicals group comprising the business areas Kemira Pulp & Paper , Kemira Water , Kemira Specialty and Kemira Coatings .","Kemira , headquartered in Helsinki , Finland , is an international chemicals group comprising the business areas Kemira Pulp & Paper , Kemira Water , Kemira Specialty and Kemira Coatings ."
Nokia and Elisa will work together to bring a superior mobile gaming experience for Elisa customers .,Nokia and Elisa will work together to convey a higher-up Mobile River gambling experience for Elisa customers .
Nokia and Elisa will work together to bring a superior mobile gaming experience for Elisa customers .,Nokia and Elisa will work together to bring a superior mobile gaming experience to Elisa customers.
Nokia and Elisa will work together to bring a superior mobile gaming experience for Elisa customers .,Nokia and Elisa will work together to bring a superior mobile gaming experience for Elisa customers .
"Nordea Bank AB publ holds 6.000 Alma Media shares , representing 0.008 % of share capital and voting rights .","Nordea Bank AB publ holds 6,000 Alma Media shares, representing 0.008% of the share capital and voting rights."
He said things will be different when new Finnish nuclear power stations go into operation and the large hydro powered stations of northern Europe have a good year .,He said the situation will be different when the new Finnish nuclear power plant comes online and the large Nordic hydropower plants have a good year.
He said things will be different when new Finnish nuclear power stations go into operation and the large hydro powered stations of northern Europe have a good year .,He said things will be different when new Finnish nuclear power stations go into operation and the large hydro powered stations of northern Europe have a good year .
"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .","harmonize to Suomi pension insurance company Varma , Varma was the receiver of over 2 third of the revenue of the earnings-related pension cover that was under competitory tender in Republic of Finland ."
"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .","According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland ."
"In the fourth quarter of 2008 , net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 .","In the fourth quarter of 2008 , net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 ."
"Finnish silicon wafers manufacturer Okmetic Oyj said on June 29 , 2007 it signed an agreement with Nordea Bank Finland Plc , the local subsidiary of Swedish commercial bank Nordea Bank AB , which will refinance Okmetic 's syndicated bank facility which amounts to some 20 mln euro ( $ 26.9 mln ) .","Suomi silicon wafer manufacturing business Okmetic Oyj tell on June XXIX , 2007 it subscribe an understanding with Nordea Bank Republic of Finland Plc , the local foot soldier of Swedish commercial bank Nordea Bank BA , which will refinance Okmetic 's syndicate bank installation which amounts to some twenty mln euro ( $ 26.9 mln ) ."
"Finnish silicon wafers manufacturer Okmetic Oyj said on June 29 , 2007 it signed an agreement with Nordea Bank Finland Plc , the local subsidiary of Swedish commercial bank Nordea Bank AB , which will refinance Okmetic 's syndicated bank facility which amounts to some 20 mln euro ( $ 26.9 mln ) .","Finnish silicon wafer manufacturer Okmetic Oyj said that on June 29, 2007, it signed an agreement with Nordea Bank Finland Plc, the local subsidiary of Swedish commercial bank Nordea Bank AB, that will refinance Okmetic&#39;s syndicated loan in the amount of approximately 20 million euros ($26.9 million)."
"Finnish silicon wafers manufacturer Okmetic Oyj said on June 29 , 2007 it signed an agreement with Nordea Bank Finland Plc , the local subsidiary of Swedish commercial bank Nordea Bank AB , which will refinance Okmetic 's syndicated bank facility which amounts to some 20 mln euro ( $ 26.9 mln ) .","Finnish silicon wafers manufacturer Okmetic Oyj said on June 29 , 2007 it signed an agreement with Nordea Bank Finland Plc , the local subsidiary of Swedish commercial bank Nordea Bank AB , which will refinance Okmetic 's syndicated bank facility which amounts to some 20 mln euro ( $ 26.9 mln ) ."
"Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter .","Nokia also noted that while its handset profit margin rose to more than 22% from 13% in the same period last year, the average selling price of its handsets fell during the period."
"Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter .","Nokia also noted the average selling price of handsets declined during the period , though its mobile phone profit margin rose to more than 22 percent from 13 percent in the year-ago quarter ."
"SOUTHFIELD , Mich. -- Central Corporate Credit Union will again distribute patronage dividends to members by waiving all service fees incurred during the months of July and November 2008 , to the tune of an estimated $ 1 million .","SOUTHFIELD , Mich. -- Central Corporate Credit Union will again distribute backing dividends to fellow member by relinquish all service fee incur during the months of July and Nov 2008 , to the melody of an approximate $ one 1000000 ."
"SOUTHFIELD , Mich. -- Central Corporate Credit Union will again distribute patronage dividends to members by waiving all service fees incurred during the months of July and November 2008 , to the tune of an estimated $ 1 million .","SOUTHFIELD , Mich. -- Central Corporate Credit Union will again distribute patronage dividends to members by waiving all service fees incurred during the months of July and November 2008 , to the tune of an estimated $ 1 million ."
The prices of stainless steel also rose in Europe .,The prices of stainless steel also rose in Europe .
"TietoEnator was down 1.13 pct to 18.38 , extending recent lows after last week 's second-quarter report , dealers said .","TietoEnator was down 1.13 pct to 18.38 , extending recent lows after last week 's second-quarter report , dealers said ."
"According to the company , staff will be laid off temporarily when necessary .","According to the company, employees will be temporarily laid off if necessary."
"According to the company , staff will be laid off temporarily when necessary .","According to the company , staff will be laid off temporarily when necessary ."
"Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market .","Seven-month sales of Ragutis , which is controlled by the Finnish brewery Olvi , declined by 11.2 percent , to 15.41 million liters , and the company held 9.89 percent of the market ."
Why not subscribe to the magazine ?,wherefore not subscribe to the magazine ?
Why not subscribe to the magazine ?,Why not subscribe to the magazine?
Why not subscribe to the magazine ?,Why not subscribe to the magazine ?
Aspocomp has a large factory in China and a factory building project in India that was halted due to financing problems .,Aspocomp has a large manufactory in mainland China and a manufactory edifice project in Bharat that was halted due to funding problems .
Aspocomp has a large factory in China and a factory building project in India that was halted due to financing problems .,"Aspocomp has a large factory in China and a factory construction project in India, but it has been suspended due to financing issues."
Aspocomp has a large factory in China and a factory building project in India that was halted due to financing problems .,Aspocomp has a large factory in China and a factory building project in India that was halted due to financing problems .
All rights reserved .,All rights reserved .
"The acquisition does not have to be from the frozen foods or fish sector , as long as it has synergies with L+�nnen Tehtaat 's other businesses .","The acquisition does not necessarily come from the frozen food or fish industry, as long as there are synergies with L+�nnen Tehtaat&#39;s other businesses."
"The acquisition does not have to be from the frozen foods or fish sector , as long as it has synergies with L+�nnen Tehtaat 's other businesses .","The acquisition does not have to be from the frozen foods or fish sector , as long as it has synergies with L+�nnen Tehtaat 's other businesses ."
"In addition , nine fixed-term employment contracts will not be extended and two people will leave the company under pension arrangements .","In addition , nine fixed-term employ contract will not be extended and deuce people will leave of absence the company under pension arrangement ."
"In addition , nine fixed-term employment contracts will not be extended and two people will leave the company under pension arrangements .","In addition, nine fixed-term labor contracts will not be extended and two will leave the company under pension arrangements."
"In addition , nine fixed-term employment contracts will not be extended and two people will leave the company under pension arrangements .","In addition , nine fixed-term employment contracts will not be extended and two people will leave the company under pension arrangements ."
"Under the agreement , Pfizer has been funding Biotie 's research activities on the PDE10 phosphodiesterase 10 inhibitor program since its start in late 2006 and has the sole authority to develop discovered compounds .","nether the understanding , Pfizer has been funding Biotie 's research activity on the PDE10 phosphodiesterase X inhibitor programme since its start in late 2006 and has the sole authorisation to develop detect compound ."
"Under the agreement , Pfizer has been funding Biotie 's research activities on the PDE10 phosphodiesterase 10 inhibitor program since its start in late 2006 and has the sole authority to develop discovered compounds .","Under the agreement, Pfizer has funded Biotie&#39;s research activities on its PDE10 phosphodiesterase 10 inhibitor program since its launch in late 2006 and has the sole license to develop the discovered compounds."
"Under the agreement , Pfizer has been funding Biotie 's research activities on the PDE10 phosphodiesterase 10 inhibitor program since its start in late 2006 and has the sole authority to develop discovered compounds .","Under the agreement , Pfizer has been funding Biotie 's research activities on the PDE10 phosphodiesterase 10 inhibitor program since its start in late 2006 and has the sole authority to develop discovered compounds ."
"Brazilian non-profit interbank Camara Interbancaria de Pagamentos CIP has acquired solutions from US business integration solutions provider Sterling Commerce , the latter company said in a statement .","Brazilian non-profit interbank Camara Interbancaria Diamond State Pagamentos CIP has acquire solution from the States concern integration solution supplier Sterling mercantilism , the latter company said in a statement ."
